"Date","Sales Count","Subtotal","Discounts","Total","Cost","Profit","Margin"
"2018-03-17 00:00","32","$6,904.36","$0.00","$7,890.50","$4,701.55","$2,202.81","31.9%"
"2018-03-19 00:00","13","$4,672.64","$0.00","$5,327.00","$2,788.51","$1,884.13","40.32%"
"2018-03-20 00:00","13","$2,888.45","$0.00","$3,274.44","$1,410.99","$1,477.46","51.15%"
"2018-03-21 00:00","10","$2,471.41","$0.00","$2,809.08","$2,162.32","$309.09","12.32%"
"2018-03-22 00:00","13","$768.55","$0.00","$847.08","$272.42","$496.13","64.55%"
"2018-03-23 00:00","15","$2,479.12","$0.00","$2,851.00","$1,515.01","$964.11","38.89%"
"2018-03-24 00:00","11","$2,539.56","$0.00","$2,916.00","$1,559.02","$980.54","36.99%"
"2018-03-26 00:00","15","$13,242.67","$150.90","$15,190.80","$9,932.33","$3,310.34","25%"
"2018-03-27 00:00","10","$1,047.62","$0.00","$1,147.00","$329.55","$718.07","68.54%"
"2018-03-28 00:00","27","$1,914.79","$0.00","$2,109.72","$1,157.71","$757.08","39.54%"
"2018-03-29 00:00","21","$38,985.33","$9.00","$44,770.85","$35,761.54","$3,223.79","8.27%"
"2018-03-31 00:00","15","$12,665.01","$1.75","$14,557.25","$11,928.98","$736.03","5.81%"
"2018-04-03 00:00","21","$9,202.00","$0.00","$10,552.30","$6,681.15","$2,520.85","26.99%"
"2018-04-04 00:00","12","$2,129.14","$0.00","$2,435.00","$1,309.68","$819.46","38.49%"
"2018-04-05 00:00","2","$313.04","$0.00","$360.00","$55.31","$257.73","82.33%"
"2018-04-06 00:00","17","$5,938.07","$0.00","$6,768.00","$3,831.63","$2,106.44","35.47%"
"2018-04-07 00:00","13","$5,360.83","$16.80","$6,152.20","$5,140.33","$220.50","4.05%"
"2018-04-09 00:00","11","$2,940.65","$0.00","$3,335.98","$1,831.48","$1,109.17","37.72%"
"2018-04-10 00:00","9","$1,427.83","$45.00","$1,615.00","$777.76","$650.07","45.53%"
"2018-04-11 00:00","7","$640.94","$12.50","$733.33","$509.99","$130.95","20.43%"
"2018-04-12 00:00","5","$1,769.36","$0.00","$2,028.00","$1,036.41","$732.95","41.42%"
"2018-04-13 00:00","20","$976.54","$13.50","$1,089.99","$834.88","$141.66","13.11%"
"2018-04-14 00:00","15","$4,771.76","$165.75","$5,485.25","$3,852.72","$919.04","19.26%"
"2018-04-16 00:00","11","$581.41","$75.25","$638.63","$315.66","$265.75","26.69%"
"2018-04-17 00:00","11","$7,851.73","$32.25","$9,007.75","$3,631.17","$4,220.56","53.75%"
"2018-04-18 00:00","14","$3,940.20","$294.50","$4,473.50","$1,190.83","$2,749.37","69.78%"
"2018-04-19 00:00","9","$1,065.66","$77.50","$1,209.00","$604.27","$461.39","43.3%"
"2018-04-20 00:00","11","$1,675.49","$45.00","$1,884.80","$903.85","$771.64","40.58%"
"2018-04-21 00:00","22","$12,642.06","$169.93","$14,522.57","$9,022.50","$3,619.56","28.55%"
"2018-04-23 00:00","18","$5,377.41","$79.50","$6,179.50","$2,041.37","$3,336.04","62.04%"
"2018-04-24 00:00","16","$3,066.97","$135.50","$3,468.50","$1,899.05","$1,167.92","38.08%"
"2018-04-26 00:00","15","$1,703.68","$63.75","$1,868.50","$575.26","$1,128.42","66.23%"
"2018-04-27 00:00","12","$1,118.29","$59.20","$1,230.80","$421.09","$697.20","62.35%"
"2018-04-28 00:00","13","$5,515.68","$76.00","$6,286.00","$4,512.30","$1,003.38","18.19%"
"2018-04-30 00:00","35","$3,512.54","$0.01","$3,977.19","$2,319.68","$1,192.86","33.96%"
"2018-05-01 00:00","13","$2,089.80","$0.00","$2,383.00","$1,232.27","$857.53","41.03%"
"2018-05-02 00:00","13","$2,607.40","$0.00","$2,973.00","$1,759.65","$847.75","31.26%"
"2018-05-03 00:00","4","$965.23","$0.00","$1,071.00","$569.39","$395.84","41.01%"
"2018-05-04 00:00","8","$1,251.32","$24.00","$1,379.00","$440.98","$810.34","64.76%"
"2018-05-05 00:00","14","$9,794.37","$0.00","$11,259.00","$5,098.32","$4,696.05","47.38%"
"2018-05-07 00:00","11","$557.59","$35.00","$627.00","$402.68","$154.91","27.78%"
"2018-05-08 00:00","17","$1,047.63","$25.00","$1,127.50","$505.67","$541.96","48.89%"
"2018-05-09 00:00","13","$7,385.65","$24.00","$8,444.00","$4,882.49","$2,503.16","33.89%"
"2018-05-10 00:00","6","$1,155.95","$19.90","$1,327.10","$627.37","$528.58","45.73%"
"2018-05-11 00:00","16","$12,602.98","$-32.40","$14,421.40","$11,235.57","$1,367.41","10.54%"
"2018-05-12 00:00","7","$406.98","$0.00","$457.50","$210.52","$196.46","48.27%"
"2018-05-14 00:00","12","$820.79","$30.00","$937.90","$487.97","$332.82","40.55%"
"2018-05-15 00:00","9","$1,381.93","$20.70","$1,561.30","$692.51","$689.42","49.89%"
"2018-05-16 00:00","3","$278.69","$55.50","$311.50","$162.05","$116.64","41.85%"
"2018-05-17 00:00","5","$214.15","$0.00","$241.00","$101.41","$112.74","52.65%"
"2018-05-18 00:00","8","$874.88","$30.00","$997.13","$485.01","$389.87","44.56%"
"2018-05-19 00:00","7","$565.23","$15.00","$650.00","$351.40","$213.83","20.16%"
"2018-05-21 00:00","7","$1,824.14","$0.00","$2,076.00","$1,044.93","$779.21","42.72%"
"2018-05-22 00:00","7","$2,178.26","$0.00","$2,505.00","$1,787.73","$390.53","17.93%"
"2018-05-23 00:00","12","$639.55","$0.00","$722.00","$357.29","$282.26","44.13%"
"2018-05-24 00:00","8","$524.84","$8.00","$580.00","$274.31","$250.53","47.73%"
"2018-05-25 00:00","13","$861.91","$-18.20","$964.20","$381.45","$480.46","40.3%"
"2018-05-26 00:00","7","$642.60","$4.00","$739.00","$335.83","$306.77","47.74%"
"2018-05-28 00:00","7","$469.56","$10.00","$540.00","$242.52","$227.04","48.35%"
"2018-05-29 00:00","5","$358.28","$0.00","$406.00","$297.34","$60.94","17.01%"
"2018-05-30 00:00","7","$10,931.28","$0.00","$12,571.00","$8,382.97","$2,548.31","23.31%"
"2018-05-31 00:00","7","$504.96","$5.00","$572.50","$261.11","$243.85","48.29%"
"2018-06-01 00:00","18","$1,798.48","$3.00","$2,024.00","$854.30","$944.18","52.5%"
"2018-06-02 00:00","11","$3,083.75","$0.00","$3,458.52","$1,687.29","$1,396.46","45.28%"
"2018-06-05 00:00","8","$2,181.74","$0.00","$2,440.00","$1,284.21","$897.53","41.14%"
"2018-06-06 00:00","5","$384.99","$0.00","$415.00","$111.46","$273.53","71.05%"
"2018-06-07 00:00","10","$4,577.39","$0.00","$5,264.00","$3,421.71","$1,155.68","25.25%"
"2018-06-08 00:00","10","$851.30","$4.00","$979.00","$424.52","$426.78","50.13%"
"2018-06-09 00:00","10","$784.36","$0.00","$902.00","$495.38","$288.98","36.84%"
"2018-06-11 00:00","5","$4,030.44","$0.00","$4,635.00","$2,679.02","$1,351.42","33.53%"
"2018-06-12 00:00","10","$365.01","$20.00","$395.00","$75.68","$289.33","55.48%"
"2018-06-13 00:00","5","$769.35","$0.00","$791.00","$172.10","$597.25","77.63%"
"2018-06-14 00:00","5","$234.13","$5.00","$255.00","$75.26","$158.87","67.86%"
"2018-06-15 00:00","5","$670.22","$46.50","$741.50","$279.53","$390.69","58.29%"
"2018-06-16 00:00","2","$512.18","$0.00","$565.00","$231.27","$280.91","54.85%"
"2018-06-18 00:00","4","$397.39","$0.00","$457.00","$266.12","$131.27","33.03%"
"2018-06-19 00:00","4","$392.18","$45.00","$421.00","$164.81","$227.37","57.98%"
"2018-06-20 00:00","5","$423.49","$0.00","$475.00","$198.13","$225.36","53.21%"
"2018-06-21 00:00","7","$680.01","$6.00","$749.00","$326.39","$353.62","52%"
"2018-06-22 00:00","12","$6,151.55","$1,389.78","$7,013.52","$4,146.43","$2,005.12","32.6%"
"2018-06-23 00:00","13","$6,472.75","$1,778.65","$7,436.90","$5,334.71","$1,138.04","17.58%"
"2018-06-25 00:00","3","$426.09","$0.00","$490.00","$221.56","$204.53","48%"
"2018-06-26 00:00","5","$250.45","$0.00","$285.00","$200.38","$50.07","19.99%"
"2018-06-27 00:00","4","$3,947.83","$0.00","$4,540.00","$2,731.36","$1,216.47","30.81%"
"2018-06-28 00:00","6","$486.96","$0.00","$545.00","$243.63","$243.33","49.97%"
"2018-06-29 00:00","10","$2,950.89","$3.00","$3,392.00","$1,528.02","$1,422.87","45.42%"
"2018-06-30 00:00","9","$6,871.32","$74.00","$7,872.00","$5,377.33","$1,493.99","21.74%"
"2018-07-02 00:00","9","$1,660.01","$0.00","$1,867.00","$1,010.67","$649.34","39.12%"
"2018-07-03 00:00","3","$6,995.66","$0.00","$8,045.00","$5,375.96","$1,619.70","23.15%"
"2018-07-04 00:00","8","$4,404.34","$0.00","$5,047.00","$3,480.56","$923.78","20.97%"
"2018-07-05 00:00","9","$699.78","$84.00","$801.00","$419.75","$280.03","40.02%"
"2018-07-06 00:00","11","$7,777.57","$48.30","$8,924.70","$5,298.76","$2,478.81","31.87%"
"2018-07-07 00:00","2","$226.09","$0.00","$260.00","$124.69","$101.40","44.85%"
"2018-07-09 00:00","5","$129.34","$0.00","$145.00","$114.65","$14.69","8.09%"
"2018-07-10 00:00","4","$370.43","$6.00","$426.00","$210.64","$159.79","43.14%"
"2018-07-11 00:00","7","$547.82","$11.00","$630.00","$316.43","$231.39","42.24%"
"2018-07-12 00:00","14","$6,306.75","$0.00","$7,243.00","$4,613.29","$1,693.46","26.85%"
"2018-07-13 00:00","8","$8,281.12","$0.00","$9,441.50","$5,497.96","$2,783.16","33.61%"
"2018-07-14 00:00","4","$391.31","$0.00","$450.00","$368.65","$22.66","5.79%"
"2018-07-16 00:00","8","$611.10","$0.00","$679.49","$232.13","$378.97","62.01%"
"2018-07-17 00:00","7","$1,091.32","$0.00","$1,255.00","$693.28","$398.04","36.47%"
"2018-07-18 00:00","10","$378.92","$0.00","$426.00","$154.36","$224.56","59.26%"
"2018-07-19 00:00","9","$1,742.60","$0.00","$1,941.00","$1,033.15","$709.45","40.71%"
"2018-07-20 00:00","12","$829.85","$4.20","$943.80","$513.83","$316.02","38.08%"
"2018-07-21 00:00","2","$78.70","$27.50","$90.50","$41.90","$36.80","46.76%"
"2018-07-23 00:00","2","$3,956.51","$0.00","$4,550.00","$3,640.85","$315.66","7.98%"
"2018-07-24 00:00","8","$13,690.21","$0.00","$15,650.00","$11,394.75","$2,295.46","16.77%"
"2018-07-25 00:00","9","$9,138.49","$7.50","$10,487.50","$6,493.45","$2,645.04","28.94%"
"2018-07-26 00:00","9","$5,211.55","$0.00","$5,977.50","$3,992.20","$1,219.35","23.4%"
"2018-07-27 00:00","10","$1,211.51","$0.00","$1,391.00","$761.98","$449.53","37.1%"
"2018-07-28 00:00","10","$1,846.09","$45.00","$2,045.00","$789.97","$1,056.12","57.21%"
"2018-07-30 00:00","7","$766.99","$37.95","$852.05","$320.60","$446.39","58.2%"
"2018-07-31 00:00","11","$1,726.50","$5.50","$1,985.50","$1,112.82","$613.68","35.12%"
"2018-08-01 00:00","9","$301.74","$0.00","$333.50","$119.65","$182.09","47.92%"
"2018-08-02 00:00","11","$14,108.87","$37.80","$16,270.20","$10,925.79","$3,183.08","21.07%"
"2018-08-03 00:00","12","$3,140.22","$0.00","$3,591.00","$2,310.65","$829.57","26.42%"
"2018-08-04 00:00","5","$1,227.40","$0.00","$1,404.00","$859.35","$368.05","29.99%"
"2018-08-07 00:00","6","$853.48","$0.00","$981.50","$648.90","$204.58","23.19%"
"2018-08-08 00:00","11","$1,276.10","$112.25","$1,400.75","$562.61","$713.49","42.13%"
"2018-08-09 00:00","10","$5,208.63","$37.50","$5,931.40","$3,456.69","$1,751.94","33.64%"
